No,Nm_Ruas,Kd_Inf,Panjang,STA_AWAL,STA_AKHIR,Fungsi,Kondisi,Tipe_Perke,Lebar_STA,Tahun_Reali,tahun,Tgl,Penanganan,Kondisi_Kini,Perke_Kini
52,"Jl. Klitik-Dimong",001,8,5+000,5+100,,RR,tanah,6,,2022,,,,
53,"Jl. Klitik-Dimong",001,8,5+100,5+200,,RR,tanah,6,,2022,,,,
54,"Jl. Klitik-Dimong",001,8,5+200,5+300,,RR,tanah,6,,2022,,,,
55,"Jl. Klitik-Dimong",001,8,5+300,5+400,,RR,tanah,6,,2022,,,,
56,"Jl. Klitik-Dimong",001,8,5+400,5+500,,RR,tanah,6,,2022,,,,
57,"Jl. Klitik-Dimong",001,8,5+500,5+600,,RR,tanah,6,,2022,,,,
58,"Jl. Klitik-Dimong",001,8,5+600,5+700,,RR,tanah,6,,2022,,,,
59,"Jl. Klitik-Dimong",001,8,5+700,5+800,,RR,tanah,6,,2022,,,,
60,"Jl. Klitik-Dimong",001,8,5+800,5+900,,RR,tanah,6,,2022,,,,
61,"Jl. Klitik-Dimong",001,8,5+900,6+000,,RR,tanah,6,,2022,,,,
62,"Jl. Klitik-Dimong",001,8,6+000,6+100,,RR,tanah,6,,2022,,,,
63,"Jl. Klitik-Dimong",001,8,6+100,6+200,,RR,tanah,6,,2022,,,,
64,"Jl. Klitik-Dimong",001,8,6+200,6+300,,RR,tanah,6,,2022,,,,
65,"Jl. Klitik-Dimong",001,8,6+300,6+400,,RR,tanah,6,,2022,,,,
66,"Jl. Klitik-Dimong",001,8,6+400,6+500,,RR,tanah,6,,2022,,,,
67,"Jl. Klitik-Dimong",001,8,6+500,6+600,,RR,tanah,6,,2022,,,,
68,"Jl. Klitik-Dimong",001,8,6+600,6+700,,RR,tanah,6,,2022,,,,
69,"Jl. Klitik-Dimong",001,8,6+700,6+800,,RR,tanah,6,,2022,,,,
70,"Jl. Klitik-Dimong",001,8,6+800,6+900,,RR,tanah,6,,2022,,,,
71,"Jl. Klitik-Dimong",001,8,6+900,7+000,,RR,tanah,6,,2022,,,,
72,"Jl. Klitik-Dimong",001,8,7+000,7+100,,RR,tanah,6,,2022,,,,
73,"Jl. Klitik-Dimong",001,8,7+100,7+200,,RR,tanah,6,,2022,,,,
74,"Jl. Klitik-Dimong",001,8,7+200,7+300,,RR,tanah,6,,2022,,,,
75,"Jl. Klitik-Dimong",001,8,7+300,7+400,,RR,tanah,6,,2022,,,,
76,"Jl. Klitik-Dimong",001,8,7+400,7+500,,RR,tanah,6,,2022,,,,
77,"Jl. Klitik-Dimong",001,8,7+500,7+600,,RR,tanah,6,,2022,,,,
78,"Jl. Klitik-Dimong",001,8,7+600,7+700,,RR,beton,6,,2022,,,,
79,"Jl. Klitik-Dimong",001,8,7+700,7+800,,RR,beton,6,,2022,,,,
80,"Jl. Klitik-Dimong",001,8,7+800,7+900,,RR,beton,6,,2022,,,,
81,"Jl. Klitik-Dimong",001,8,7+900,8+000,,RR,beton,6,,2022,,,,
82,"Jl. Klitik-Dimong",001,8,8+100,8+127,,RR,beton,6,,2022,,,,
84,"Jl. Bajulan-Kenongorejo",002,5,0+000,0+100,,RR,beton,6,,2022,,,,
85,"Jl. Bajulan-Kenongorejo",002,5,0+100,0+200,,RR,beton,6,,2022,,,,
86,"Jl. Bajulan-Kenongorejo",002,5,0+200,0+300,,RR,beton,6,,2022,,,,
87,"Jl. Bajulan-Kenongorejo",002,5,0+300,0+400,,RR,beton,6,,2022,,,,
88,"Jl. Bajulan-Kenongorejo",002,5,0+400,0+500,,RR,beton,6,,2022,,,,
89,"Jl. Bajulan-Kenongorejo",002,5,0+500,0+600,,RR,beton,6,,2022,,,,
90,"Jl. Bajulan-Kenongorejo",002,5,0+600,0+700,,RR,beton,6,,2022,,,,
91,"Jl. Bajulan-Kenongorejo",002,5,0+700,0+800,,RR,beton,6,,2022,,,,
92,"Jl. Bajulan-Kenongorejo",002,5,0+800,0+900,,RR,beton,6,,2022,,,,
93,"Jl. Bajulan-Kenongorejo",002,5,0+900,1+000,,RR,beton,6,,2022,,,,
94,"Jl. Bajulan-Kenongorejo",002,5,1+000,1+100,,RR,beton,6,,2022,,,,
95,"Jl. Bajulan-Kenongorejo",002,5,1+100,1+200,,RR,beton,6,,2022,,,,
96,"Jl. Bajulan-Kenongorejo",002,5,1+200,1+300,,RR,beton,6,,2022,,,,
97,"Jl. Bajulan-Kenongorejo",002,5,1+300,1+400,,RR,beton,6,,2022,,,,
98,"Jl. Bajulan-Kenongorejo",002,5,1+400,1+500,,RR,beton,6,,2022,,,,
99,"Jl. Bajulan-Kenongorejo",002,5,1+500,1+600,,RR,beton,6,,2022,,,,
100,"Jl. Bajulan-Kenongorejo",002,5,1+600,1+700,,RR,beton,6,,2022,,,,
101,"Jl. Bajulan-Kenongorejo",002,5,1+700,1+800,,RR,beton,6,,2022,,,,
102,"Jl. Bajulan-Kenongorejo",002,5,1+800,1+900,,RR,beton,6,,2022,,,,
103,"Jl. Bajulan-Kenongorejo",002,5,1+900,2+000,,RR,beton,6,,2022,,,,
104,"Jl. Bajulan-Kenongorejo",002,5,2+000,2+100,,RR,beton,6,,2022,,,,
