id,no_jemb,nama,kec,panjang,lebar,jml_bintang,ba_tipe,lat,long,kondisi
318,19.137.002,Jembatan Warurejo I,Balerejo,4.4,7,1,Plat,7.54013,111.61077,1
319,19.137.003,Jembatan Warurejo II,Balerejo,4.2,7,1,Plat,7.54019,111.61121,3
320,19.138.001,Jembatan Bantengan IV,Wungu,3.8,6.5,1,Gelagar,7.64689,111.57254,1
321,19.138.002,Jembatan Karangrejo I,Wungu,2.55,3.8,1,Gelagar,7.67077,111.58574,2
322,19.139.001,Jembatan Bantengan V,Wungu,3.4,7.9,1,Plat,7.63452,111.55367,2
323,19.140.001,Jembatan Karangrejo II,Wungu,3.8,3.75,1,Gelagar,7.66749,111.58147,2
324,19.141.001,Jembatan Sidorejo VI,Wungu,6.8,6.45,1,Pelengkung,7.65996,111.54666,2
325,19.143.001,Jembatan Wungu IV,Wungu,2.45,6.95,1,Plat,7.69032,111.61658,1
326,19.143.002,Jembatan Kresek I,Wungu,6.1,7.5,1,Gelagar Komposit,7.69356,111.62049,2
327,19.143.003,Jembatan Kresek II,Wungu,3.4,7.85,1,Plat,7.69493,111.62,1
328,19.143.004,Jembatan Kresek III,Wungu,35.7,11.2,1,Gelagar,7.70067,111.62511,1
329,19.143.005,Jembatan Kresek IV,Wungu,9.5,5.2,1,Gelagar,7.70555,111.63193,1
330,19.144.001,Jembatan Kresek V,Wungu,11.7,3.65,1,Gelagar,7.70257,111.62727,1
331,19.144.002,Jembatan Kresek VI,Wungu,5.7,3.65,1,Plat,7.70607,111.62664,2
332,19.144.003,Jembatan Bodag I,Wungu,3.1,5.2,1,Gelagar,7.730033,111.64982,2
333,19.145.001,Jembatan Bodag II,Kare,2.4,4.95,1,Gelagar,7.73971,111.65681,3
334,19.145.002,Jembatan Bodag III,Kare,8.6,5.55,1,Gelagar,7.73904,111.65921,2
335,19.145.003,Kembatan Kepel I,Kare,2.8,3.7,1,Plat,7.73977,111.66968,2
336,19.145.004,Kembatan Kepel II,Kare,2.4,4.05,1,Plat,7.73878,111.66976,2
