Nm_Ruas,Kd_Inf,Panjang,STA_AWAL,STA_AKHIR,No,Fungsi
Jl. Pilangkenceng-Pulerejo,123,1.680,0+700,0+800,5732,Lokal Sekunder
Jl. Pilangkenceng-Pulerejo,123,1.680,0+800,0+900,5733,Lokal Sekunder
Jl. Pilangkenceng-Pulerejo,123,1.680,0+900,1+000,5734,Lokal Sekunder
Jl. Pilangkenceng-Pulerejo,123,1.680,1+000,1+100,5735,Lokal Sekunder
Jl. Pilangkenceng-Pulerejo,123,1.680,1+100,1+200,5736,Lokal Sekunder
Jl. Pilangkenceng-Pulerejo,123,1.680,1+200,1+300,5737,Lokal Sekunder
Jl. Pilangkenceng-Pulerejo,123,1.680,1+300,1+400,5738,Lokal Sekunder
Jl. Pilangkenceng-Pulerejo,123,1.680,1+400,1+500,5739,Lokal Sekunder
Jl. Pilangkenceng-Pulerejo,123,1.680,1+600,1+683,5740,Lokal Sekunder
Jl. Pandean-Kaliabu,124,2.900,0+000,0+100,5742,Lokal Sekunder
Jl. Pandean-Kaliabu,124,2.900,0+100,0+200,5743,Lokal Sekunder
Jl. Pandean-Kaliabu,124,2.900,0+200,0+300,5744,Lokal Sekunder
Jl. Pandean-Kaliabu,124,2.900,0+300,0+400,5745,Lokal Sekunder
Jl. Pandean-Kaliabu,124,2.900,0+400,0+500,5746,Lokal Sekunder
Jl. Pandean-Kaliabu,124,2.900,0+500,0+600,5747,Lokal Sekunder
Jl. Pandean-Kaliabu,124,2.900,0+600,0+700,5748,Lokal Sekunder
Jl. Pandean-Kaliabu,124,2.900,0+700,0+800,5749,Lokal Sekunder
Jl. Pandean-Kaliabu,124,2.900,0+800,0+900,5750,Lokal Sekunder
Jl. Pandean-Kaliabu,124,2.900,0+900,1+000,5751,Lokal Sekunder
Jl. Pandean-Kaliabu,124,2.900,1+000,1+100,5752,Lokal Sekunder
Jl. Pandean-Kaliabu,124,2.900,1+100,1+200,5753,Lokal Sekunder
Jl. Pandean-Kaliabu,124,2.900,1+200,1+300,5754,Lokal Sekunder
Jl. Pandean-Kaliabu,124,2.900,1+300,1+400,5755,Lokal Sekunder
Jl. Pandean-Kaliabu,124,2.900,1+400,1+500,5756,Lokal Sekunder
Jl. Pandean-Kaliabu,124,2.900,1+500,1+600,5757,Lokal Sekunder
Jl. Pandean-Kaliabu,124,2.900,1+600,1+700,5758,Lokal Sekunder
Jl. Pandean-Kaliabu,124,2.900,1+700,1+800,5759,Lokal Sekunder
Jl. Pandean-Kaliabu,124,2.900,1+800,1+900,5760,Lokal Sekunder
Jl. Pandean-Kaliabu,124,2.900,1+900,2+000,5761,Lokal Sekunder
Jl. Pandean-Kaliabu,124,2.900,2+000,2+100,5762,Lokal Sekunder
Jl. Pandean-Kaliabu,124,2.900,2+100,2+200,5763,Lokal Sekunder
Jl. Pandean-Kaliabu,124,2.900,2+200,2+300,5764,Lokal Sekunder
Jl. Pandean-Kaliabu,124,2.900,2+300,2+400,5765,Lokal Sekunder
Jl. Pandean-Kaliabu,124,2.900,2+400,2+500,5766,Lokal Sekunder
Jl. Pandean-Kaliabu,124,2.900,2+500,2+600,5767,Lokal Sekunder
Jl. Pandean-Kaliabu,124,2.900,2+600,2+700,5768,Lokal Sekunder
Jl. Pandean-Kaliabu,124,2.900,2+800,2+899,5769,Lokal Sekunder
Jl. Kaliabu-TPA,125,0.500,0+000,0+100,5771,Lokal Sekunder
Jl. Kaliabu-TPA,125,0.500,0+100,0+200,5772,Lokal Sekunder
Jl. Kaliabu-TPA,125,0.500,0+200,0+300,5773,Lokal Sekunder
Jl. Kaliabu-TPA,125,0.500,0+400,0+497,5774,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,0+000,0+100,5776,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,0+100,0+200,5777,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,0+200,0+300,5778,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,0+300,0+400,5779,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,0+400,0+500,5780,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,0+500,0+600,5781,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,0+600,0+700,5782,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,0+700,0+800,5783,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,0+800,0+900,5784,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,0+900,1+000,5785,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,1+000,1+100,5786,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,1+100,1+200,5787,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,1+200,1+300,5788,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,1+300,1+400,5789,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,1+400,1+500,5790,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,1+500,1+600,5791,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,1+600,1+700,5792,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,1+700,1+800,5793,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,1+800,1+900,5794,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,1+900,2+000,5795,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,2+000,2+100,5796,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,2+100,2+200,5797,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,2+200,2+300,5798,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,2+300,2+400,5799,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,2+400,2+500,5800,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,2+500,2+600,5801,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,2+600,2+700,5802,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,2+700,2+800,5803,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,2+800,2+900,5804,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,2+900,3+000,5805,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,3+000,3+100,5806,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,3+100,3+200,5807,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,3+200,3+300,5808,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,3+300,3+400,5809,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,3+400,3+500,5810,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,3+500,3+600,5811,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,3+600,3+700,5812,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,3+700,3+800,5813,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,3+800,3+900,5814,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,3+900,4+000,5815,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,4+000,4+100,5816,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,4+100,4+200,5817,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,4+200,4+300,5818,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,4+300,4+400,5819,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,4+400,4+500,5820,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,4+500,4+600,5821,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,4+600,4+700,5822,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,4+700,4+800,5823,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,4+900,4+970,5824,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,0+000,0+100,5826,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,0+100,0+200,5827,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,0+200,0+300,5828,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,0+300,0+400,5829,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,0+400,0+500,5830,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,0+500,0+600,5831,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,0+600,0+700,5832,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,0+700,0+800,5833,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,0+800,0+900,5834,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,0+900,1+000,5835,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,1+000,1+100,5836,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,1+100,1+200,5837,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,1+200,1+300,5838,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,1+300,1+400,5839,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,1+400,1+500,5840,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,1+500,1+600,5841,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,1+600,1+700,5842,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,1+700,1+800,5843,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,1+800,1+900,5844,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,1+900,2+000,5845,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,2+000,2+100,5846,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,2+100,2+200,5847,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,2+200,2+300,5848,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,2+300,2+400,5849,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,2+400,2+500,5850,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,2+500,2+600,5851,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,2+600,2+700,5852,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,2+700,2+800,5853,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,2+800,2+900,5854,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,2+900,3+000,5855,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,3+000,3+100,5856,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,3+100,3+200,5857,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,3+200,3+300,5858,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,3+300,3+400,5859,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,3+400,3+500,5860,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,3+500,3+600,5861,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,3+600,3+700,5862,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,3+700,3+800,5863,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,3+800,3+900,5864,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,3+900,4+000,5865,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,4+000,4+100,5866,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,4+100,4+200,5867,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,4+200,4+300,5868,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,4+300,4+400,5869,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,4+400,4+500,5870,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,4+500,4+600,5871,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,4+600,4+700,5872,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,4+700,4+800,5873,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,4+800,4+900,5874,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,4+900,5+000,5875,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,5+000,5+100,5876,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,5+100,5+200,5877,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,5+200,5+300,5878,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,5+300,5+400,5879,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,5+400,5+500,5880,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,5+500,5+600,5881,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,5+600,5+700,5882,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,5+700,5+800,5883,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,5+800,5+900,5884,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,5+900,6+000,5885,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,6+000,6+100,5886,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,6+100,6+200,5887,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,6+200,6+300,5888,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,6+300,6+400,5889,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,6+400,6+500,5890,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,6+500,6+600,5891,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,6+600,6+700,5892,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,6+700,6+800,5893,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,6+800,6+900,5894,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,6+900,7+000,5895,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,7+000,7+100,5896,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,7+100,7+200,5897,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,7+200,7+300,5898,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,7+300,7+400,5899,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,7+400,7+500,5900,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,7+500,7+600,5901,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,7+600,7+700,5902,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,7+700,7+800,5903,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,7+800,7+900,5904,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,7+900,8+000,5905,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,8+000,8+100,5906,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,8+100,8+200,5907,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,8+200,8+300,5908,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,8+300,8+400,5909,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,8+400,8+500,5910,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,8+500,8+600,5911,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,8+600,8+700,5912,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,8+700,8+800,5913,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,8+800,8+900,5914,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,8+900,9+000,5915,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,9+000,9+100,5916,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,9+100,9+200,5917,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,9+200,9+300,5918,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,9+300,9+400,5919,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,9+400,9+500,5920,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,9+500,9+600,5921,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,9+600,9+700,5922,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,9+700,9+800,5923,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,9+800,9+900,5924,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,9+900,10+000,5925,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,10+000,10+100,5926,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,10+100,10+200,5927,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,10+200,10+300,5928,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,10+300,10+400,5929,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,10+400,10+500,5930,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,10+500,10+600,5931,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,10+600,10+700,5932,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,10+700,10+800,5933,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,10+800,10+900,5934,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,10+900,11+000,5935,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,11+000,11+100,5936,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,11+100,11+200,5937,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,11+200,11+300,5938,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,11+300,11+400,5939,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,11+400,11+500,5940,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,11+500,11+600,5941,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,11+600,11+700,5942,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,11+700,11+800,5943,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,11+800,11+900,5944,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,11+900,12+000,5945,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,12+000,12+100,5946,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,12+100,12+200,5947,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,12+200,12+300,5948,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,12+300,12+400,5949,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,12+400,12+500,5950,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,12+500,12+600,5951,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,12+600,12+700,5952,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,12+700,12+800,5953,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,12+800,12+900,5954,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,12+900,13+000,5955,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,13+000,13+100,5956,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,13+100,13+200,5957,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,13+200,13+300,5958,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,13+300,13+400,5959,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,13+400,13+500,5960,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,13+500,13+600,5961,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,13+600,13+700,5962,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,13+700,13+800,5963,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,13+800,13+900,5964,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,13+900,14+000,5965,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,14+000,14+100,5966,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,14+100,14+200,5967,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,14+200,14+300,5968,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,14+300,14+400,5969,Lokal Sekunder
Jl. Blabakan-Randualas,127,14.520,14+500,14+522,5970,Lokal Sekunder
Jl. Sidomulyo-Kaliabu,128,3.570,3+500,3+555,5972,Lokal Sekunder
Jl. Sidomulyo-Kaliabu,128,3.570,3+400,3+500,5973,Lokal Sekunder
Jl. Sidomulyo-Kaliabu,128,3.570,3+300,3+400,5974,Lokal Sekunder
Jl. Sidomulyo-Kaliabu,128,3.570,3+200,3+300,5975,Lokal Sekunder
Jl. Sidomulyo-Kaliabu,128,3.570,3+100,3+200,5976,Lokal Sekunder
Jl. Sidomulyo-Kaliabu,128,3.570,3+000,3+100,5977,Lokal Sekunder
Jl. Sidomulyo-Kaliabu,128,3.570,2+900,3+000,5978,Lokal Sekunder
Jl. Sidomulyo-Kaliabu,128,3.570,2+800,2+900,5979,Lokal Sekunder
Jl. Sidomulyo-Kaliabu,128,3.570,2+700,2+800,5980,Lokal Sekunder
Jl. Sidomulyo-Kaliabu,128,3.570,2+600,2+700,5981,Lokal Sekunder
Jl. Sidomulyo-Kaliabu,128,3.570,2+500,2+600,5982,Lokal Sekunder
Jl. Sidomulyo-Kaliabu,128,3.570,2+400,2+500,5983,Lokal Sekunder
Jl. Sidomulyo-Kaliabu,128,3.570,2+300,2+400,5984,Lokal Sekunder
Jl. Sidomulyo-Kaliabu,128,3.570,2+200,2+300,5985,Lokal Sekunder
Jl. Sidomulyo-Kaliabu,128,3.570,2+100,2+200,5986,Lokal Sekunder
Jl. Sidomulyo-Kaliabu,128,3.570,2+000,2+100,5987,Lokal Sekunder
Jl. Sidomulyo-Kaliabu,128,3.570,1+900,2+000,5988,Lokal Sekunder
Jl. Sidomulyo-Kaliabu,128,3.570,1+800,1+900,5989,Lokal Sekunder
Jl. Sidomulyo-Kaliabu,128,3.570,1+700,1+800,5990,Lokal Sekunder
Jl. Sidomulyo-Kaliabu,128,3.570,1+600,1+700,5991,Lokal Sekunder
Jl. Sidomulyo-Kaliabu,128,3.570,1+500,1+600,5992,Lokal Sekunder
Jl. Sidomulyo-Kaliabu,128,3.570,1+400,1+500,5993,Lokal Sekunder
Jl. Sidomulyo-Kaliabu,128,3.570,1+300,1+400,5994,Lokal Sekunder
Jl. Sidomulyo-Kaliabu,128,3.570,1+200,1+300,5995,Lokal Sekunder
Jl. Sidomulyo-Kaliabu,128,3.570,1+100,1+200,5996,Lokal Sekunder
Jl. Sidomulyo-Kaliabu,128,3.570,1+000,1+100,5997,Lokal Sekunder
Jl. Sidomulyo-Kaliabu,128,3.570,0+900,1+000,5998,Lokal Sekunder
Jl. Sidomulyo-Kaliabu,128,3.570,0+800,0+900,5999,Lokal Sekunder
Jl. Sidomulyo-Kaliabu,128,3.570,0+700,0+800,6000,Lokal Sekunder
Jl. Sidomulyo-Kaliabu,128,3.570,0+600,0+700,6001,Lokal Sekunder
Jl. Sidomulyo-Kaliabu,128,3.570,0+500,0+600,6002,Lokal Sekunder
Jl. Sidomulyo-Kaliabu,128,3.570,0+400,0+500,6003,Lokal Sekunder
Jl. Sidomulyo-Kaliabu,128,3.570,0+300,0+400,6004,Lokal Sekunder
Jl. Sidomulyo-Kaliabu,128,3.570,0+200,0+300,6005,Lokal Sekunder
Jl. Sidomulyo-Kaliabu,128,3.570,0+000,0+100,6006,Lokal Sekunder
Jl. Klitik-Bancong,129,1.500,0+000,0+100,6008,Lokal Sekunder
Jl. Klitik-Bancong,129,1.500,0+100,0+200,6009,Lokal Sekunder
Jl. Klitik-Bancong,129,1.500,0+200,0+300,6010,Lokal Sekunder
Jl. Klitik-Bancong,129,1.500,0+300,0+400,6011,Lokal Sekunder
Jl. Klitik-Bancong,129,1.500,0+400,0+500,6012,Lokal Sekunder
Jl. Klitik-Bancong,129,1.500,0+500,0+600,6013,Lokal Sekunder
Jl. Klitik-Bancong,129,1.500,0+600,0+700,6014,Lokal Sekunder
Jl. Klitik-Bancong,129,1.500,0+700,0+800,6015,Lokal Sekunder
Jl. Klitik-Bancong,129,1.500,0+800,0+900,6016,Lokal Sekunder
Jl. Klitik-Bancong,129,1.500,0+900,1+000,6017,Lokal Sekunder
Jl. Klitik-Bancong,129,1.500,1+000,1+100,6018,Lokal Sekunder
Jl. Klitik-Bancong,129,1.500,1+100,1+200,6019,Lokal Sekunder
Jl. Klitik-Bancong,129,1.500,1+200,1+300,6020,Lokal Sekunder
Jl. Klitik-Bancong,129,1.500,1+300,1+400,6021,Lokal Sekunder
Jl. Klitik-Bancong,129,1.500,1+500,1+537,6022,Lokal Sekunder
Jl. Wonoasri-Bancong,130,2.100,0+000,0+100,6024,Lokal Sekunder
Jl. Wonoasri-Bancong,130,2.100,0+100,0+200,6025,Lokal Sekunder
Jl. Wonoasri-Bancong,130,2.100,0+200,0+300,6026,Lokal Sekunder
Jl. Wonoasri-Bancong,130,2.100,0+300,0+400,6027,Lokal Sekunder
Jl. Wonoasri-Bancong,130,2.100,0+400,0+500,6028,Lokal Sekunder
Jl. Wonoasri-Bancong,130,2.100,0+500,0+600,6029,Lokal Sekunder
Jl. Wonoasri-Bancong,130,2.100,0+600,0+700,6030,Lokal Sekunder
Jl. Wonoasri-Bancong,130,2.100,0+700,0+800,6031,Lokal Sekunder
Jl. Wonoasri-Bancong,130,2.100,0+800,0+900,6032,Lokal Sekunder
Jl. Wonoasri-Bancong,130,2.100,0+900,1+000,6033,Lokal Sekunder
Jl. Wonoasri-Bancong,130,2.100,1+000,1+100,6034,Lokal Sekunder
Jl. Wonoasri-Bancong,130,2.100,1+100,1+200,6035,Lokal Sekunder
Jl. Wonoasri-Bancong,130,2.100,1+200,1+300,6036,Lokal Sekunder
Jl. Wonoasri-Bancong,130,2.100,1+300,1+400,6037,Lokal Sekunder
Jl. Wonoasri-Bancong,130,2.100,1+400,1+500,6038,Lokal Sekunder
Jl. Wonoasri-Bancong,130,2.100,1+500,1+600,6039,Lokal Sekunder
Jl. Wonoasri-Bancong,130,2.100,1+600,1+700,6040,Lokal Sekunder
Jl. Wonoasri-Bancong,130,2.100,1+700,1+800,6041,Lokal Sekunder
Jl. Wonoasri-Bancong,130,2.100,1+800,1+900,6042,Lokal Sekunder
Jl. Wonoasri-Bancong,130,2.100,1+900,2+000,6043,Lokal Sekunder
Jl. Wonoasri-Bancong,130,2.100,2+000,2+100,6044,Lokal Sekunder
Jl. Wonoasri-Bancong,130,2.100,2+200,2+261,6045,Lokal Sekunder
Jl. Wonoasri-Banyukambang,131,2.010,0+000,0+100,6047,Lokal Sekunder
Jl. Wonoasri-Banyukambang,131,2.010,0+100,0+200,6048,Lokal Sekunder
Jl. Wonoasri-Banyukambang,131,2.010,0+200,0+300,6049,Lokal Sekunder
Jl. Wonoasri-Banyukambang,131,2.010,0+300,0+400,6050,Lokal Sekunder
Jl. Wonoasri-Banyukambang,131,2.010,0+400,0+500,6051,Lokal Sekunder
Jl. Wonoasri-Banyukambang,131,2.010,0+500,0+600,6052,Lokal Sekunder
Jl. Wonoasri-Banyukambang,131,2.010,0+600,0+700,6053,Lokal Sekunder
Jl. Wonoasri-Banyukambang,131,2.010,0+700,0+800,6054,Lokal Sekunder
Jl. Wonoasri-Banyukambang,131,2.010,0+800,0+900,6055,Lokal Sekunder
Jl. Wonoasri-Banyukambang,131,2.010,0+900,1+000,6056,Lokal Sekunder
Jl. Wonoasri-Banyukambang,131,2.010,1+000,1+100,6057,Lokal Sekunder
Jl. Wonoasri-Banyukambang,131,2.010,1+100,1+200,6058,Lokal Sekunder
Jl. Wonoasri-Banyukambang,131,2.010,1+200,1+300,6059,Lokal Sekunder
Jl. Wonoasri-Banyukambang,131,2.010,1+300,1+400,6060,Lokal Sekunder
Jl. Wonoasri-Banyukambang,131,2.010,1+400,1+500,6061,Lokal Sekunder
